FullName,FirstName,LastName,BirthYear,DeathYear
Don Albert,Don,Albert,,
Happy Goldstein,Happy,Goldstein,,
Alvin Alcorn,Alvin,Alcorn,1912,2003
Oliver Alcorn,Oliver,Alcorn,,
Ed Allen,Ed,Allen,,
Johnny St. Cyr,Johnny,St Cyr,1890,1966
Pops Foster,Pops,Foster,1892,1969
Eddie Johnson,Eddie,Johnson,,
Henry Allen,Henry,Allen,1908,1967
Peter Bocage,Peter,Bocage,1887,1967
Andy Anderson,Andy,Anderson,1905,1982
Freddie Kohlman,Freddie,Kohlman,1918,1990
Paul Barbarin,Paul,Barbarin,1899,1969
Eddie Pierson,Eddie,Pierson,1904,1958
Mallory Todd,Mallory,Todd,,
Louis Nelson,Louis,Nelson,1902,1990
Adolphe Alexander,Adolphe,Alexander,1898,1969
Richard Allen,Richard,Allen,1927,2007
Avery Howard,Avery,Howard,1908,1966
Frank Amacker,Frank,Amacker,1890,1976
Ernest Roubleau,Ernest,Roubleau,,
Paul Crawford,Paul,Crawford,1925,1996
Bill Humphries,Bill,Humphries,,
Alex Bigard,Alex,Bigard,,
Leonard Ferguson,Leonard,Ferguson,1923,
Robert Anderson,Robert,Anderson,,
Tom Anderson,Tom,Anderson,,
Octave Coleman,Octave,Coleman,,
Irwin Jones,Irwin,Jones,,
Walter Payton,Walter,Payton,,
Jesse Lee,Jesse,Lee,,
Harold Edwards,Harold,Edwards,,
Nat Dowl,Nat,Dowl,,
Chuck Fortier,Chuck,Fortier,,
John Henry McNeil,John Henry,McNeil,,
Frank Morton,Frank,Morton,,
Clyde LeBeau,Clyde,LeBeau,,
Lil Hardin Armstrong,Lil Hardin,Armstrong,1902,1971
Louis Armstrong,Louis,Armstrong,1901,1971
Jack Teagarden,Jack,Teagarden,1905,1964
Sid Catlett,Sid,Catlett,1910,1951
Barney Bigard,Barney,Bigard,1906,1980
Arvell Shaw,Arvell,Shaw,1923,2002
Geoge James Lindsay,Geoge James,Lindsay,,
Z.T. Randolph,Z.T.,Randolph,,
Mike McKendrick,Mike,McKendrick,,
Fred Hall,Fred,Hall,,
Charles Alexander,Charles,Alexander,,
Al Washington,Al,Washington,,
Preston Jackson,Preston,Jackson,,
Lester Boone,Lester,Boone,,
Peter Davis,Peter,Davis,,
Earl Hines,Earl,Hines,1903,1983
Peter Briggs,Peter,Briggs,,
Honore Dutrey,Honore,Dutrey,1894,1935
Bill Wilson,Bill,Wilson,,
Tubby Hall,Tubby,Hall,,
Boyd Atkins,Boyd,Atkins,,
Arthur Bassett,Arthur,Bassett,,
Joe Walker,Joe,Walker,,
Willard Hamby,Willard,Hamby,,
Clarence Armstrong,Clarence,Armstrong,,
Edward Ory,Edward,Ory,,
Johnny Dodds,Johnny,Dodds,1892,1940
Jac Assunto,Jac,Assunto,1905,1985
Leonard Bechet,Leonard,Bechet,,
Jack Willis,Jack,Willis,,
Albert Walters,Albert,Walters,1905,1980
Andrew Bailey,Andrew,Bailey,,
Roland Leach,Roland,Leach,,
Buck Banville,Buck,Banville,,
Luke Schiro,Luke,Schiro,,
Lefty Eiermann,Lefty,Eiermann,,
