Title,Creator,Contributors,TulaneName,FullName,FirstName,LastName,BirthYear,DeathYear,Description,Notes,Date,Language,Identifier,Source,Relation,Coverage-Spatial,Collection,Rights,Publisher,Contact Information,Type,Format,Cataloger,Cataloged Date,Object File Name,Image Resolution (Archival),Image Bit-Depth (Archival),Color Mode (Archival),Extent (Archival),Image Manipulation (Archival),File Size (Archival),Hardware/Software (Archival),Digitized By,Digitized Date,File to Upload,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path,Location URI
Don Albert,,,"Albert, Don",Don Albert,Don,Albert,,,"Don Albert, tp, playing in front of a patterened curtain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/0,0,,,
Don Albert,,,"Albert, Don",Don Albert,Don,Albert,,,"Don Albert, tp, in profile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/1,1,,,
Alvin Alcorn,,,"Goldstein, Happy",Happy Goldstein,Happy,Goldstein,,,"Alvin Acorn, tp, with Happy Goldstein, d.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/2,2,,,
Alvin Alcorn,,,"Alcorn, Alvin, 1912-2003",Alvin Alcorn,Alvin,Alcorn,1912,2003,"Alvin Acorn, tp, with Happy Goldstein, d.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/2,2,,,
Oliver Alcorn,,,"Alcorn, Oliver",Oliver Alcorn,Oliver,Alcorn,,,Late 1930's - On Streckfus Steamer (cutout of subject from original image),,1930s,,See 'reference url' on navigation bar.,From Mr. Ransom Knowling via Karl Gert zur Heide,,,,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000006,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/3,3,4.jp2,/p16313coll33/image/4.jp2,
Ed Allen's Band,,,"Allen, Ed",Ed Allen,Ed,Allen,,,"Sidney Desvigne, 1st tp, Ed Allen, tp, John St. Cyr, bj, Pops Foster, sous",,1920s,,See 'reference url' on navigation bar.,See St. Cyr and Manetta interviews,,,J. St. Cyr Collection,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000007,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/4,4,5.jp2,/p16313coll33/image/5.jp2,
Ed Allen's Band,,,"St. Cyr, Johnny, 1890-1966",Johnny St. Cyr,Johnny,St. Cyr,1890,1966,"Sidney Desvigne, 1st tp, Ed Allen, tp, John St. Cyr, bj, Pops Foster, sous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/4,4,,,
Ed Allen's Band,,,"Foster, Pops, 1892-1969",Pops Foster,Pops,Foster,1892,1969,"Sidney Desvigne, 1st tp, Ed Allen, tp, John St. Cyr, bj, Pops Foster, sous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/4,4,,,
Henry Allen Brass Band,"Ashforth, Alden",,"Johnson, Eddie",Eddie Johnson,Eddie,Johnson,,,"l-r; Eddie 'Big Head' Johnson, as, partially visible, Henry Allen, Sr., tp, Peter Bocage, tp, Andy Anderson, tp, Freddie Kohlman, sn d, Paul Barbarin, bd; walking down the street during a funeral procession",,1951,,See 'reference url' on navigation bar.,"Gift of Alden Ashforth, 1993",,New Orleans (La.),Alden Ashforth Collection,Contact photographer for permission to use,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000008,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/5,5,6.jp2,/p16313coll33/image/6.jp2,http://sws.geonames.org/4335053/
Henry Allen Brass Band,,,"Allen, Henry, 1908-1967",Henry Allen,Henry,Allen,1908,1967,"l-r; Eddie 'Big Head' Johnson, as, partially visible, Henry Allen, Sr., tp, Peter Bocage, tp, Andy Anderson, tp, Freddie Kohlman, sn d, Paul Barbarin, bd; walking down the street during a funeral procession",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/5,5,,,
Henry Allen Brass Band,,,"Bocage, Peter, 1887-1967",Peter Bocage,Peter,Bocage,1887,1967,"l-r; Eddie 'Big Head' Johnson, as, partially visible, Henry Allen, Sr., tp, Peter Bocage, tp, Andy Anderson, tp, Freddie Kohlman, sn d, Paul Barbarin, bd; walking down the street during a funeral procession",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/5,5,,,
Henry Allen Brass Band,,,"Anderson, Andy, 1905-1982",Andy Anderson,Andy,Anderson,1905,1982,"l-r; Eddie 'Big Head' Johnson, as, partially visible, Henry Allen, Sr., tp, Peter Bocage, tp, Andy Anderson, tp, Freddie Kohlman, sn d, Paul Barbarin, bd; walking down the street during a funeral procession",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/5,5,,,
Henry Allen Brass Band,,,"Kohlman, Freddie, 1918-1990",Freddie Kohlman,Freddie,Kohlman,1918,1990,"l-r; Eddie 'Big Head' Johnson, as, partially visible, Henry Allen, Sr., tp, Peter Bocage, tp, Andy Anderson, tp, Freddie Kohlman, sn d, Paul Barbarin, bd; walking down the street during a funeral procession",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/5,5,,,
Henry Allen Brass Band,,,"Barbarin, Paul, 1899-1969",Paul Barbarin,Paul,Barbarin,1899,1969,"l-r; Eddie 'Big Head' Johnson, as, partially visible, Henry Allen, Sr., tp, Peter Bocage, tp, Andy Anderson, tp, Freddie Kohlman, sn d, Paul Barbarin, bd; walking down the street during a funeral procession",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/5,5,,,
Henry Allen Brass Band,"Ashforth, Alden",,"Pierson, Eddie, 1904-1958",Eddie Pierson,Eddie,Pierson,1904,1958,"l-r: Eddie Pierson, tb, Mallory Todd, tu, Eddie 'Big Head' Johnson, as, Louis Nelson, tb, Adolphe """"Tats"""" Alexander, Jr., eu, Henry Allen, Sr., tp, and paul Barbarin, bd; walking down the street during a funeral procession.",,1951,,See 'reference url' on navigation bar.,"Gift of Alden Ashforth, 1993",,New Orleans (La.),Alden Ashforth Collection,Contact photographer for permission to use,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000009,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/6,6,7.jp2,/p16313coll33/image/7.jp2,http://sws.geonames.org/4335053/
Henry Allen Brass Band,,,"Todd, Mallory",Mallory Todd,Mallory,Todd,,,"l-r: Eddie Pierson, tb, Mallory Todd, tu, Eddie 'Big Head' Johnson, as, Louis Nelson, tb, Adolphe """"Tats"""" Alexander, Jr., eu, Henry Allen, Sr., tp, and paul Barbarin, bd; walking down the street during a funeral procession.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/6,6,,,
Henry Allen Brass Band,,,"Johnson, Eddie",Eddie Johnson,Eddie,Johnson,,,"l-r: Eddie Pierson, tb, Mallory Todd, tu, Eddie 'Big Head' Johnson, as, Louis Nelson, tb, Adolphe """"Tats"""" Alexander, Jr., eu, Henry Allen, Sr., tp, and paul Barbarin, bd; walking down the street during a funeral procession.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/6,6,,,
Henry Allen Brass Band,,,"Nelson, Louis, 1902-1990",Louis Nelson,Louis,Nelson,1902,1990,"l-r: Eddie Pierson, tb, Mallory Todd, tu, Eddie 'Big Head' Johnson, as, Louis Nelson, tb, Adolphe """"Tats"""" Alexander, Jr., eu, Henry Allen, Sr., tp, and paul Barbarin, bd; walking down the street during a funeral procession.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/6,6,,,
Henry Allen Brass Band,,,"Alexander, Adolphe, Jr., 1898-1969",Adolphe Alexander,Adolphe,Alexander,1898,1969,"l-r: Eddie Pierson, tb, Mallory Todd, tu, Eddie 'Big Head' Johnson, as, Louis Nelson, tb, Adolphe """"Tats"""" Alexander, Jr., eu, Henry Allen, Sr., tp, and paul Barbarin, bd; walking down the street during a funeral procession.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/6,6,,,
Henry Allen Brass Band,,,"Allen, Henry, 1908-1967",Henry Allen,Henry,Allen,1908,1967,"l-r: Eddie Pierson, tb, Mallory Todd, tu, Eddie 'Big Head' Johnson, as, Louis Nelson, tb, Adolphe """"Tats"""" Alexander, Jr., eu, Henry Allen, Sr., tp, and paul Barbarin, bd; walking down the street during a funeral procession.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/6,6,,,
Henry Allen Brass Band,,,"Barbarin, Paul, 1899-1969",Paul Barbarin,Paul,Barbarin,1899,1969,"l-r: Eddie Pierson, tb, Mallory Todd, tu, Eddie 'Big Head' Johnson, as, Louis Nelson, tb, Adolphe """"Tats"""" Alexander, Jr., eu, Henry Allen, Sr., tp, and paul Barbarin, bd; walking down the street during a funeral procession.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/6,6,,,
Red Allen,,,"Allen, Henry, 1908-1967",Henry Allen,Henry,Allen,1908,1967,Henry Allen holding his trumpet on a card that advertises Allen's Brass Band,,,,See 'reference url' on navigation bar.,"Card borrowed for reproduction from Worthia """"Showboy"""" Thomas",,,,Copyright is in accordance with U.S. Copyright law,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000010,,,,,,,,,,,,03/13/13,03/13/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/7,7,8.jp2,/p16313coll33/image/8.jp2,
Richard B. Allen,"Friedlander, Lee",,"Allen, Richard, 1927-2007",Richard Allen,Richard,Allen,1927,2007,"Richard Allen holding a document rolled up in his hand, with a pipe in his mouth.",,,,See 'reference url' on navigation bar.,,,,,Contact Lee Friedlaner for permission to reproduce,,raeburn@tulane.edu,Image,tif,EC,03/13/13,OPH000011,,,,,,,,,,,,03/13/13,07/25/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/8,8,9.jp2,/p16313coll33/image/9.jp2,
