FullName,FirstName,LastName,BirthYear,DeathYear,id
Don Albert,Don,Albert,,,1
Happy Goldstein,Happy,Goldstein,,,2
Alvin Alcorn,Alvin,Alcorn,1912,2003,3
Oliver Alcorn,Oliver,Alcorn,,,4
Ed Allen,Ed,Allen,,,5
Johnny St. Cyr,Johnny,St. Cyr,1890,1966,6
Pops Foster,Pops,Foster,1892,1969,7
Eddie Johnson,Eddie,Johnson,,,8
Henry Allen,Henry,Allen,1908,1967,9
Peter Bocage,Peter,Bocage,1887,1967,10
Andy Anderson,Andy,Anderson,1905,1982,11
Freddie Kohlman,Freddie,Kohlman,1918,1990,12
Paul Barbarin,Paul,Barbarin,1899,1969,13
Eddie Pierson,Eddie,Pierson,1904,1958,14
Mallory Todd,Mallory,Todd,,,15
Louis Nelson,Louis,Nelson,1902,1990,16
Adolphe Alexander,Adolphe,Alexander,1898,1969,17
Richard Allen,Richard,Allen,1927,2007,18
Avery Howard,Avery,Howard,1908,1966,19
Frank Amacker,Frank,Amacker,1890,1976,20
Ernest Roubleau,Ernest,Roubleau,,,21
Paul Crawford,Paul,Crawford,1925,1996,22
Bill Humphries,Bill,Humphries,,,23
Alex Bigard,Alex,Bigard,,,24
Leonard Ferguson,Leonard,Ferguson,1923,,25
Robert Anderson,Robert,Anderson,,,26
Tom Anderson,Tom,Anderson,,,27
Octave Coleman,Octave,Coleman,,,28
Irwin Jones,Irwin,Jones,,,29
Walter Payton,Walter,Payton,,,30
Jesse Lee,Jesse,Lee,,,31
Harold Edwards,Harold,Edwards,,,32
Nat Dowl,Nat,Dowl,,,33
Chuck Fortier,Chuck,Fortier,,,34
John Henry McNeil,John Henry,McNeil,,,35
Frank Morton,Frank,Morton,,,36
Clyde LeBeau,Clyde,LeBeau,,,37
Lil Hardin Armstrong,Lil Hardin,Armstrong,1902,1971,38
Louis Armstrong,Louis,Armstrong,1901,1971,39
Jack Teagarden,Jack,Teagarden,1905,1964,40
Sid Catlett,Sid,Catlett,1910,1951,41
Barney Bigard,Barney,Bigard,1906,1980,42
Arvell Shaw,Arvell,Shaw,1923,2002,43
Geoge James Lindsay,Geoge James,Lindsay,,,44
Z.T. Randolph,Z.T.,Randolph,,,45
Mike McKendrick,Mike,McKendrick,,,46
Fred Hall,Fred,Hall,,,47
Charles Alexander,Charles,Alexander,,,48
Al Washington,Al,Washington,,,49
Preston Jackson,Preston,Jackson,,,50
Lester Boone,Lester,Boone,,,51
Peter Davis,Peter,Davis,,,52
Earl Hines,Earl,Hines,1903,1983,53
Peter Briggs,Peter,Briggs,,,54
Honore Dutrey,Honore,Dutrey,1894,1935,55
Bill Wilson,Bill,Wilson,,,56
Tubby Hall,Tubby,Hall,,,57
Boyd Atkins,Boyd,Atkins,,,58
Arthur Bassett,Arthur,Bassett,,,59
Joe Walker,Joe,Walker,,,60
Willard Hamby,Willard,Hamby,,,61
Clarence Armstrong,Clarence,Armstrong,,,62
Edward Ory,Edward,Ory,,,63
Johnny Dodds,Johnny,Dodds,1892,1940,64
Jac Assunto,Jac,Assunto,1905,1985,65
Leonard Bechet,Leonard,Bechet,,,66
Jack Willis,Jack,Willis,,,67
Albert Walters,Albert,Walters,1905,1980,68
Andrew Bailey,Andrew,Bailey,,,69
Roland Leach,Roland,Leach,,,70
Buck Banville,Buck,Banville,,,71
Luke Schiro,Luke,Schiro,,,72
Lefty Eiermann,Lefty,Eiermann,,,73
Charlie Favrot,Charlie,Favrot,,,74
Otto Bubert,Otto,Bubert,,,75
Isidore Barbarin,Isidore,Barbarin,1871,1960,76
Frank Demond,Frank,Demond,,,77
Matthew Houston,Matthew,Houston,1911,1981,78
Mike Stark,Mike,Stark,,,79
Nowell Glass,Nowell,Glass,,,80
George Colar,George,Colar,1908,1996,81
Oscar Rouzon,Oscar,Rouzon,1912,1987,82
Louis Cottrell,Louis,Cottrell,1911,1978,83
David Grillier,David,Grillier,,,84
Herman Sherman,Herman,Sherman,1923,1984,85
Darryl Johnson,Darryl,Johnson,,,86
John Brunious,John,Brunious,1940,2008,87
Noon Johnson,Noon,Johnson,,,88
Wendell Eugene,Wendell,Eugene,,,89
Alfred Lazard,Alfred,Lazard,,,90
Dean Andrews,Dean,Andrews,,,91
Pete Fountain,Pete,Fountain,1930,,92
Chester Jones,Chester,Jones,,,93
Clem Tervalon,Clem,Tervalon,,,94
Freddie Kohlman,Freddie,Kohlman,,,95
Pete Fountain,Pete,Fountain,,,96
Placide Adams,Placide,Adams,1929,2003,97
Waldren Joseph,Waldren,Joseph,1918,,98
Jerry Greene,Jerry,Greene,,,99
Louis Cottrell,Louis,Cottrell,,,100
Dave Stead,Dave,Stead,,,101
Emma Barrett,Emma,Barrett,1897,1983,102
Brady Smith,Brady,Smith,,,103
Ernie Cagnolatti,Ernie,Cagnolatti,1911,1983,104
Wardell Quezerque,Wardell,Quezerque,,,105
Louis Barbarin,Louis,Barbarin,1902,1997,106
Louis Nelson,Louis,Nelson,1902,199,107
Kid Howard,Kid,Howard,1908,1966,108
Dominick Barrocca,Dominick,Barrocca,,,109
Tom Maggiore,Tom,Maggiore,,,110
Raymond Burke,Raymond,Burke,1904,1986,111
Sam Margiotta,Sam,Margiotta,,,112
Hughie Hardy,Hughie,Hardy,,,113
Sal Gutierrez,Sal,Gutierrez,,,114
Tony Gougerat,Tony,Gougerat,,,115
Lawrence Martin,Lawrence,Martin,,,116
Harrison Brazley,Harrison,Brazley,,,117
George Guesnon,George,Guesnon,,,118
Albert Glenny,Albert,Glenny,1870,1958,119
Cie Frazier,Cie,Frazier,1904,1985,120
Joe Lindsey,Joe,Lindsey,,,121
Billie Pierce,Billie,Pierce,1907,1974,122
Dede Pierce,Dede,Pierce,1904,1973,123
Albert Burbank,Albert,Burbank,1902,1976,124
Abby Williams,Abby,Williams,,,125
Dick Allen,Dick,Allen,,,126
Jim Robinson,Jim,Robinson,1892,1976,127
Percy Humphrey,Percy,Humphrey,1905,1995,128
Ricard Alexis,Ricard,Alexis,1861,1960,129
Andrew Morgan,Andrew,Morgan,1901,1972,130
Paul Barnes,Paul,Barnes,1901,1981,131
Sammy Penn,Sammy,Penn,1902,1969,132
James Miller,James,Miller,1914,,133
George Fihle,George,Fihle,,,134
King Oliver,King,Oliver,1885,1938,135
Bob Shoffner,Bob,Shoffner,,,136
Bert Cobb,Bert,Cobb,,,137
Bud Scott,Bud,Scott,1890,1949,138
Darnell Howard,Darnell,Howard,1895,1966,139
Albert Nicholas,Albert,Nicholas,1900,1973,140
Luis Russell,Luis,Russell,1902,1963,141
